gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE0032,GENE0032,GENE0032 Associated Gene,10,Cell Signaling,GENE0032 Protein
GENE0033,GENE0033,GENE0033 Associated Gene,11,Tumor Suppression,GENE0033 Protein
GENE0034,GENE0034,GENE0034 Associated Gene,12,Immune Regulation,GENE0034 Protein
GENE0035,GENE0035,GENE0035 Associated Gene,13,Protein Synthesis,GENE0035 Protein
GENE0036,GENE0036,GENE0036 Associated Gene,14,Metabolism,GENE0036 Protein
GENE0037,GENE0037,GENE0037 Associated Gene,15,Signal Transduction,GENE0037 Protein
GENE0038,GENE0038,GENE0038 Associated Gene,16,Apoptosis,GENE0038 Protein
GENE0039,GENE0039,GENE0039 Associated Gene,17,Cell Cycle Control,GENE0039 Protein
GENE0040,GENE0040,GENE0040 Associated Gene,18,Gene Expression,GENE0040 Protein
GENE0041,GENE0041,GENE0041 Associated Gene,19,DNA Repair,GENE0041 Protein
GENE0042,GENE0042,GENE0042 Associated Gene,20,Cell Signaling,GENE0042 Protein
GENE0043,GENE0043,GENE0043 Associated Gene,21,Tumor Suppression,GENE0043 Protein
GENE0044,GENE0044,GENE0044 Associated Gene,22,Immune Regulation,GENE0044 Protein
GENE0045,GENE0045,GENE0045 Associated Gene,1,Protein Synthesis,GENE0045 Protein
GENE0046,GENE0046,GENE0046 Associated Gene,2,Metabolism,GENE0046 Protein
GENE0047,GENE0047,GENE0047 Associated Gene,3,Signal Transduction,GENE0047 Protein
GENE0048,GENE0048,GENE0048 Associated Gene,4,Apoptosis,GENE0048 Protein
GENE0049,GENE0049,GENE0049 Associated Gene,5,Cell Cycle Control,GENE0049 Protein
GENE0050,GENE0050,GENE0050 Associated Gene,6,Gene Expression,GENE0050 Protein
GENE0051,GENE0051,GENE0051 Associated Gene,7,DNA Repair,GENE0051 Protein
GENE0052,GENE0052,GENE0052 Associated Gene,8,Cell Signaling,GENE0052 Protein
GENE0053,GENE0053,GENE0053 Associated Gene,9,Tumor Suppression,GENE0053 Protein
GENE0054,GENE0054,GENE0054 Associated Gene,10,Immune Regulation,GENE0054 Protein
GENE0055,GENE0055,GENE0055 Associated Gene,11,Protein Synthesis,GENE0055 Protein
GENE0056,GENE0056,GENE0056 Associated Gene,12,Metabolism,GENE0056 Protein
GENE0057,GENE0057,GENE0057 Associated Gene,13,Signal Transduction,GENE0057 Protein
GENE0058,GENE0058,GENE0058 Associated Gene,14,Apoptosis,GENE0058 Protein
GENE0059,GENE0059,GENE0059 Associated Gene,15,Cell Cycle Control,GENE0059 Protein
GENE0060,GENE0060,GENE0060 Associated Gene,16,Gene Expression,GENE0060 Protein
GENE0061,GENE0061,GENE0061 Associated Gene,17,DNA Repair,GENE0061 Protein
GENE0062,GENE0062,GENE0062 Associated Gene,18,Cell Signaling,GENE0062 Protein
GENE0063,GENE0063,GENE0063 Associated Gene,19,Tumor Suppression,GENE0063 Protein
GENE0064,GENE0064,GENE0064 Associated Gene,20,Immune Regulation,GENE0064 Protein
GENE0065,GENE0065,GENE0065 Associated Gene,21,Protein Synthesis,GENE0065 Protein
GENE0066,GENE0066,GENE0066 Associated Gene,22,Metabolism,GENE0066 Protein
GENE0067,GENE0067,GENE0067 Associated Gene,1,Signal Transduction,GENE0067 Protein
GENE0068,GENE0068,GENE0068 Associated Gene,2,Apoptosis,GENE0068 Protein
GENE0069,GENE0069,GENE0069 Associated Gene,3,Cell Cycle Control,GENE0069 Protein
GENE0070,GENE0070,GENE0070 Associated Gene,4,Gene Expression,GENE0070 Protein
GENE0071,GENE0071,GENE0071 Associated Gene,5,DNA Repair,GENE0071 Protein
GENE0072,GENE0072,GENE0072 Associated Gene,6,Cell Signaling,GENE0072 Protein
GENE0073,GENE0073,GENE0073 Associated Gene,7,Tumor Suppression,GENE0073 Protein
GENE0074,GENE0074,GENE0074 Associated Gene,8,Immune Regulation,GENE0074 Protein
GENE0075,GENE0075,GENE0075 Associated Gene,9,Protein Synthesis,GENE0075 Protein
GENE0076,GENE0076,GENE0076 Associated Gene,10,Metabolism,GENE0076 Protein
GENE0077,GENE0077,GENE0077 Associated Gene,11,Signal Transduction,GENE0077 Protein
GENE0078,GENE0078,GENE0078 Associated Gene,12,Apoptosis,GENE0078 Protein
GENE0079,GENE0079,GENE0079 Associated Gene,13,Cell Cycle Control,GENE0079 Protein
GENE0080,GENE0080,GENE0080 Associated Gene,14,Gene Expression,GENE0080 Protein
GENE0081,GENE0081,GENE0081 Associated Gene,15,DNA Repair,GENE0081 Protein
GENE0082,GENE0082,GENE0082 Associated Gene,16,Cell Signaling,GENE0082 Protein
GENE0083,GENE0083,GENE0083 Associated Gene,17,Tumor Suppression,GENE0083 Protein
GENE0084,GENE0084,GENE0084 Associated Gene,18,Immune Regulation,GENE0084 Protein
GENE0085,GENE0085,GENE0085 Associated Gene,19,Protein Synthesis,GENE0085 Protein
GENE0086,GENE0086,GENE0086 Associated Gene,20,Metabolism,GENE0086 Protein
GENE0087,GENE0087,GENE0087 Associated Gene,21,Signal Transduction,GENE0087 Protein
GENE0088,GENE0088,GENE0088 Associated Gene,22,Apoptosis,GENE0088 Protein
GENE0089,GENE0089,GENE0089 Associated Gene,1,Cell Cycle Control,GENE0089 Protein
GENE0090,GENE0090,GENE0090 Associated Gene,2,Gene Expression,GENE0090 Protein
GENE0091,GENE0091,GENE0091 Associated Gene,3,DNA Repair,GENE0091 Protein
GENE0092,GENE0092,GENE0092 Associated Gene,4,Cell Signaling,GENE0092 Protein
GENE0093,GENE0093,GENE0093 Associated Gene,5,Tumor Suppression,GENE0093 Protein
GENE0094,GENE0094,GENE0094 Associated Gene,6,Immune Regulation,GENE0094 Protein
GENE0095,GENE0095,GENE0095 Associated Gene,7,Protein Synthesis,GENE0095 Protein
GENE0096,GENE0096,GENE0096 Associated Gene,8,Metabolism,GENE0096 Protein
GENE0097,GENE0097,GENE0097 Associated Gene,9,Signal Transduction,GENE0097 Protein
GENE0098,GENE0098,GENE0098 Associated Gene,10,Apoptosis,GENE0098 Protein
GENE0099,GENE0099,GENE0099 Associated Gene,11,Cell Cycle Control,GENE0099 Protein
GENE0100,GENE0100,GENE0100 Associated Gene,12,Gene Expression,GENE0100 Protein
GENE0101,GENE0101,GENE0101 Associated Gene,13,DNA Repair,GENE0101 Protein
GENE0102,GENE0102,GENE0102 Associated Gene,14,Cell Signaling,GENE0102 Protein
GENE0103,GENE0103,GENE0103 Associated Gene,15,Tumor Suppression,GENE0103 Protein
GENE0104,GENE0104,GENE0104 Associated Gene,16,Immune Regulation,GENE0104 Protein
GENE0105,GENE0105,GENE0105 Associated Gene,17,Protein Synthesis,GENE0105 Protein
GENE0106,GENE0106,GENE0106 Associated Gene,18,Metabolism,GENE0106 Protein
GENE0107,GENE0107,GENE0107 Associated Gene,19,Signal Transduction,GENE0107 Protein
GENE0108,GENE0108,GENE0108 Associated Gene,20,Apoptosis,GENE0108 Protein
GENE0109,GENE0109,GENE0109 Associated Gene,21,Cell Cycle Control,GENE0109 Protein
GENE0110,GENE0110,GENE0110 Associated Gene,22,Gene Expression,GENE0110 Protein
GENE0111,GENE0111,GENE0111 Associated Gene,1,DNA Repair,GENE0111 Protein
GENE0112,GENE0112,GENE0112 Associated Gene,2,Cell Signaling,GENE0112 Protein
GENE0113,GENE0113,GENE0113 Associated Gene,3,Tumor Suppression,GENE0113 Protein
GENE0114,GENE0114,GENE0114 Associated Gene,4,Immune Regulation,GENE0114 Protein
GENE0115,GENE0115,GENE0115 Associated Gene,5,Protein Synthesis,GENE0115 Protein
GENE0116,GENE0116,GENE0116 Associated Gene,6,Metabolism,GENE0116 Protein
GENE0117,GENE0117,GENE0117 Associated Gene,7,Signal Transduction,GENE0117 Protein
GENE0118,GENE0118,GENE0118 Associated Gene,8,Apoptosis,GENE0118 Protein
GENE0119,GENE0119,GENE0119 Associated Gene,9,Cell Cycle Control,GENE0119 Protein
GENE0120,GENE0120,GENE0120 Associated Gene,10,Gene Expression,GENE0120 Protein
GENE0121,GENE0121,GENE0121 Associated Gene,11,DNA Repair,GENE0121 Protein
GENE0122,GENE0122,GENE0122 Associated Gene,12,Cell Signaling,GENE0122 Protein
GENE0123,GENE0123,GENE0123 Associated Gene,13,Tumor Suppression,GENE0123 Protein
GENE0124,GENE0124,GENE0124 Associated Gene,14,Immune Regulation,GENE0124 Protein
GENE0125,GENE0125,GENE0125 Associated Gene,15,Protein Synthesis,GENE0125 Protein
GENE0126,GENE0126,GENE0126 Associated Gene,16,Metabolism,GENE0126 Protein
GENE0127,GENE0127,GENE0127 Associated Gene,17,Signal Transduction,GENE0127 Protein
GENE0128,GENE0128,GENE0128 Associated Gene,18,Apoptosis,GENE0128 Protein
GENE0129,GENE0129,GENE0129 Associated Gene,19,Cell Cycle Control,GENE0129 Protein
GENE0130,GENE0130,GENE0130 Associated Gene,20,Gene Expression,GENE0130 Protein
GENE0131,GENE0131,GENE0131 Associated Gene,21,DNA Repair,GENE0131 Protein
GENE0132,GENE0132,GENE0132 Associated Gene,22,Cell Signaling,GENE0132 Protein
GENE0133,GENE0133,GENE0133 Associated Gene,1,Tumor Suppression,GENE0133 Protein
GENE0134,GENE0134,GENE0134 Associated Gene,2,Immune Regulation,GENE0134 Protein
GENE0135,GENE0135,GENE0135 Associated Gene,3,Protein Synthesis,GENE0135 Protein
GENE0136,GENE0136,GENE0136 Associated Gene,4,Metabolism,GENE0136 Protein
GENE0137,GENE0137,GENE0137 Associated Gene,5,Signal Transduction,GENE0137 Protein
GENE0138,GENE0138,GENE0138 Associated Gene,6,Apoptosis,GENE0138 Protein
GENE0139,GENE0139,GENE0139 Associated Gene,7,Cell Cycle Control,GENE0139 Protein
GENE0140,GENE0140,GENE0140 Associated Gene,8,Gene Expression,GENE0140 Protein
GENE0141,GENE0141,GENE0141 Associated Gene,9,DNA Repair,GENE0141 Protein
GENE0142,GENE0142,GENE0142 Associated Gene,10,Cell Signaling,GENE0142 Protein
GENE0143,GENE0143,GENE0143 Associated Gene,11,Tumor Suppression,GENE0143 Protein
GENE0144,GENE0144,GENE0144 Associated Gene,12,Immune Regulation,GENE0144 Protein
GENE0145,GENE0145,GENE0145 Associated Gene,13,Protein Synthesis,GENE0145 Protein
GENE0146,GENE0146,GENE0146 Associated Gene,14,Metabolism,GENE0146 Protein
GENE0147,GENE0147,GENE0147 Associated Gene,15,Signal Transduction,GENE0147 Protein
GENE0148,GENE0148,GENE0148 Associated Gene,16,Apoptosis,GENE0148 Protein
GENE0149,GENE0149,GENE0149 Associated Gene,17,Cell Cycle Control,GENE0149 Protein
GENE0150,GENE0150,GENE0150 Associated Gene,18,Gene Expression,GENE0150 Protein
GENE0151,GENE0151,GENE0151 Associated Gene,19,DNA Repair,GENE0151 Protein
GENE0152,GENE0152,GENE0152 Associated Gene,20,Cell Signaling,GENE0152 Protein
GENE0153,GENE0153,GENE0153 Associated Gene,21,Tumor Suppression,GENE0153 Protein
GENE0154,GENE0154,GENE0154 Associated Gene,22,Immune Regulation,GENE0154 Protein
GENE0155,GENE0155,GENE0155 Associated Gene,1,Protein Synthesis,GENE0155 Protein
GENE0156,GENE0156,GENE0156 Associated Gene,2,Metabolism,GENE0156 Protein
GENE0157,GENE0157,GENE0157 Associated Gene,3,Signal Transduction,GENE0157 Protein
GENE0158,GENE0158,GENE0158 Associated Gene,4,Apoptosis,GENE0158 Protein
GENE0159,GENE0159,GENE0159 Associated Gene,5,Cell Cycle Control,GENE0159 Protein
GENE0160,GENE0160,GENE0160 Associated Gene,6,Gene Expression,GENE0160 Protein
GENE0161,GENE0161,GENE0161 Associated Gene,7,DNA Repair,GENE0161 Protein
GENE0162,GENE0162,GENE0162 Associated Gene,8,Cell Signaling,GENE0162 Protein
GENE0163,GENE0163,GENE0163 Associated Gene,9,Tumor Suppression,GENE0163 Protein
GENE0164,GENE0164,GENE0164 Associated Gene,10,Immune Regulation,GENE0164 Protein
GENE0165,GENE0165,GENE0165 Associated Gene,11,Protein Synthesis,GENE0165 Protein
GENE0166,GENE0166,GENE0166 Associated Gene,12,Metabolism,GENE0166 Protein
GENE0167,GENE0167,GENE0167 Associated Gene,13,Signal Transduction,GENE0167 Protein
GENE0168,GENE0168,GENE0168 Associated Gene,14,Apoptosis,GENE0168 Protein
GENE0169,GENE0169,GENE0169 Associated Gene,15,Cell Cycle Control,GENE0169 Protein
GENE0170,GENE0170,GENE0170 Associated Gene,16,Gene Expression,GENE0170 Protein
GENE0171,GENE0171,GENE0171 Associated Gene,17,DNA Repair,GENE0171 Protein
GENE0172,GENE0172,GENE0172 Associated Gene,18,Cell Signaling,GENE0172 Protein
GENE0173,GENE0173,GENE0173 Associated Gene,19,Tumor Suppression,GENE0173 Protein
GENE0174,GENE0174,GENE0174 Associated Gene,20,Immune Regulation,GENE0174 Protein
GENE0175,GENE0175,GENE0175 Associated Gene,21,Protein Synthesis,GENE0175 Protein
GENE0176,GENE0176,GENE0176 Associated Gene,22,Metabolism,GENE0176 Protein
GENE0177,GENE0177,GENE0177 Associated Gene,1,Signal Transduction,GENE0177 Protein
GENE0178,GENE0178,GENE0178 Associated Gene,2,Apoptosis,GENE0178 Protein
GENE0179,GENE0179,GENE0179 Associated Gene,3,Cell Cycle Control,GENE0179 Protein
GENE0180,GENE0180,GENE0180 Associated Gene,4,Gene Expression,GENE0180 Protein
GENE0181,GENE0181,GENE0181 Associated Gene,5,DNA Repair,GENE0181 Protein
GENE0182,GENE0182,GENE0182 Associated Gene,6,Cell Signaling,GENE0182 Protein
GENE0183,GENE0183,GENE0183 Associated Gene,7,Tumor Suppression,GENE0183 Protein
GENE0184,GENE0184,GENE0184 Associated Gene,8,Immune Regulation,GENE0184 Protein
GENE0185,GENE0185,GENE0185 Associated Gene,9,Protein Synthesis,GENE0185 Protein
GENE0186,GENE0186,GENE0186 Associated Gene,10,Metabolism,GENE0186 Protein
GENE0187,GENE0187,GENE0187 Associated Gene,11,Signal Transduction,GENE0187 Protein
GENE0188,GENE0188,GENE0188 Associated Gene,12,Apoptosis,GENE0188 Protein
GENE0189,GENE0189,GENE0189 Associated Gene,13,Cell Cycle Control,GENE0189 Protein
GENE0190,GENE0190,GENE0190 Associated Gene,14,Gene Expression,GENE0190 Protein
GENE0191,GENE0191,GENE0191 Associated Gene,15,DNA Repair,GENE0191 Protein
GENE0192,GENE0192,GENE0192 Associated Gene,16,Cell Signaling,GENE0192 Protein
GENE0193,GENE0193,GENE0193 Associated Gene,17,Tumor Suppression,GENE0193 Protein
GENE0194,GENE0194,GENE0194 Associated Gene,18,Immune Regulation,GENE0194 Protein
GENE0195,GENE0195,GENE0195 Associated Gene,19,Protein Synthesis,GENE0195 Protein
GENE0196,GENE0196,GENE0196 Associated Gene,20,Metabolism,GENE0196 Protein
GENE0197,GENE0197,GENE0197 Associated Gene,21,Signal Transduction,GENE0197 Protein
GENE0198,GENE0198,GENE0198 Associated Gene,22,Apoptosis,GENE0198 Protein
GENE0199,GENE0199,GENE0199 Associated Gene,1,Cell Cycle Control,GENE0199 Protein
GENE0200,GENE0200,GENE0200 Associated Gene,2,Gene Expression,GENE0200 Protein
GENE0201,GENE0201,GENE0201 Associated Gene,3,DNA Repair,GENE0201 Protein
GENE0202,GENE0202,GENE0202 Associated Gene,4,Cell Signaling,GENE0202 Protein
GENE0203,GENE0203,GENE0203 Associated Gene,5,Tumor Suppression,GENE0203 Protein
GENE0204,GENE0204,GENE0204 Associated Gene,6,Immune Regulation,GENE0204 Protein
GENE0205,GENE0205,GENE0205 Associated Gene,7,Protein Synthesis,GENE0205 Protein
GENE0206,GENE0206,GENE0206 Associated Gene,8,Metabolism,GENE0206 Protein
GENE0207,GENE0207,GENE0207 Associated Gene,9,Signal Transduction,GENE0207 Protein
GENE0208,GENE0208,GENE0208 Associated Gene,10,Apoptosis,GENE0208 Protein
GENE0209,GENE0209,GENE0209 Associated Gene,11,Cell Cycle Control,GENE0209 Protein
GENE0210,GENE0210,GENE0210 Associated Gene,12,Gene Expression,GENE0210 Protein
GENE0211,GENE0211,GENE0211 Associated Gene,13,DNA Repair,GENE0211 Protein
GENE0212,GENE0212,GENE0212 Associated Gene,14,Cell Signaling,GENE0212 Protein
GENE0213,GENE0213,GENE0213 Associated Gene,15,Tumor Suppression,GENE0213 Protein
GENE0214,GENE0214,GENE0214 Associated Gene,16,Immune Regulation,GENE0214 Protein
GENE0215,GENE0215,GENE0215 Associated Gene,17,Protein Synthesis,GENE0215 Protein
GENE0216,GENE0216,GENE0216 Associated Gene,18,Metabolism,GENE0216 Protein
GENE0217,GENE0217,GENE0217 Associated Gene,19,Signal Transduction,GENE0217 Protein
GENE0218,GENE0218,GENE0218 Associated Gene,20,Apoptosis,GENE0218 Protein
GENE0219,GENE0219,GENE0219 Associated Gene,21,Cell Cycle Control,GENE0219 Protein
GENE0220,GENE0220,GENE0220 Associated Gene,22,Gene Expression,GENE0220 Protein
GENE0221,GENE0221,GENE0221 Associated Gene,1,DNA Repair,GENE0221 Protein
GENE0222,GENE0222,GENE0222 Associated Gene,2,Cell Signaling,GENE0222 Protein
GENE0223,GENE0223,GENE0223 Associated Gene,3,Tumor Suppression,GENE0223 Protein
GENE0224,GENE0224,GENE0224 Associated Gene,4,Immune Regulation,GENE0224 Protein
GENE0225,GENE0225,GENE0225 Associated Gene,5,Protein Synthesis,GENE0225 Protein
GENE0226,GENE0226,GENE0226 Associated Gene,6,Metabolism,GENE0226 Protein
GENE0227,GENE0227,GENE0227 Associated Gene,7,Signal Transduction,GENE0227 Protein
GENE0228,GENE0228,GENE0228 Associated Gene,8,Apoptosis,GENE0228 Protein
GENE0229,GENE0229,GENE0229 Associated Gene,9,Cell Cycle Control,GENE0229 Protein
GENE0230,GENE0230,GENE0230 Associated Gene,10,Gene Expression,GENE0230 Protein
GENE0231,GENE0231,GENE0231 Associated Gene,11,DNA Repair,GENE0231 Protein
GENE0232,GENE0232,GENE0232 Associated Gene,12,Cell Signaling,GENE0232 Protein
GENE0233,GENE0233,GENE0233 Associated Gene,13,Tumor Suppression,GENE0233 Protein
GENE0234,GENE0234,GENE0234 Associated Gene,14,Immune Regulation,GENE0234 Protein
GENE0235,GENE0235,GENE0235 Associated Gene,15,Protein Synthesis,GENE0235 Protein
GENE0236,GENE0236,GENE0236 Associated Gene,16,Metabolism,GENE0236 Protein
GENE0237,GENE0237,GENE0237 Associated Gene,17,Signal Transduction,GENE0237 Protein
GENE0238,GENE0238,GENE0238 Associated Gene,18,Apoptosis,GENE0238 Protein
GENE0239,GENE0239,GENE0239 Associated Gene,19,Cell Cycle Control,GENE0239 Protein
GENE0240,GENE0240,GENE0240 Associated Gene,20,Gene Expression,GENE0240 Protein
GENE0241,GENE0241,GENE0241 Associated Gene,21,DNA Repair,GENE0241 Protein
GENE0242,GENE0242,GENE0242 Associated Gene,22,Cell Signaling,GENE0242 Protein
GENE0243,GENE0243,GENE0243 Associated Gene,1,Tumor Suppression,GENE0243 Protein
GENE0244,GENE0244,GENE0244 Associated Gene,2,Immune Regulation,GENE0244 Protein
GENE0245,GENE0245,GENE0245 Associated Gene,3,Protein Synthesis,GENE0245 Protein
GENE0246,GENE0246,GENE0246 Associated Gene,4,Metabolism,GENE0246 Protein
GENE0247,GENE0247,GENE0247 Associated Gene,5,Signal Transduction,GENE0247 Protein
GENE0248,GENE0248,GENE0248 Associated Gene,6,Apoptosis,GENE0248 Protein
GENE0249,GENE0249,GENE0249 Associated Gene,7,Cell Cycle Control,GENE0249 Protein
GENE0250,GENE0250,GENE0250 Associated Gene,8,Gene Expression,GENE0250 Protein
GENE0251,GENE0251,GENE0251 Associated Gene,9,DNA Repair,GENE0251 Protein
GENE0252,GENE0252,GENE0252 Associated Gene,10,Cell Signaling,GENE0252 Protein
GENE0253,GENE0253,GENE0253 Associated Gene,11,Tumor Suppression,GENE0253 Protein
GENE0254,GENE0254,GENE0254 Associated Gene,12,Immune Regulation,GENE0254 Protein
GENE0255,GENE0255,GENE0255 Associated Gene,13,Protein Synthesis,GENE0255 Protein
GENE0256,GENE0256,GENE0256 Associated Gene,14,Metabolism,GENE0256 Protein
GENE0257,GENE0257,GENE0257 Associated Gene,15,Signal Transduction,GENE0257 Protein
GENE0258,GENE0258,GENE0258 Associated Gene,16,Apoptosis,GENE0258 Protein
GENE0259,GENE0259,GENE0259 Associated Gene,17,Cell Cycle Control,GENE0259 Protein
GENE0260,GENE0260,GENE0260 Associated Gene,18,Gene Expression,GENE0260 Protein
GENE0261,GENE0261,GENE0261 Associated Gene,19,DNA Repair,GENE0261 Protein
GENE0262,GENE0262,GENE0262 Associated Gene,20,Cell Signaling,GENE0262 Protein
GENE0263,GENE0263,GENE0263 Associated Gene,21,Tumor Suppression,GENE0263 Protein
GENE0264,GENE0264,GENE0264 Associated Gene,22,Immune Regulation,GENE0264 Protein
GENE0265,GENE0265,GENE0265 Associated Gene,1,Protein Synthesis,GENE0265 Protein
GENE0266,GENE0266,GENE0266 Associated Gene,2,Metabolism,GENE0266 Protein
GENE0267,GENE0267,GENE0267 Associated Gene,3,Signal Transduction,GENE0267 Protein
GENE0268,GENE0268,GENE0268 Associated Gene,4,Apoptosis,GENE0268 Protein
GENE0269,GENE0269,GENE0269 Associated Gene,5,Cell Cycle Control,GENE0269 Protein
GENE0270,GENE0270,GENE0270 Associated Gene,6,Gene Expression,GENE0270 Protein
GENE0271,GENE0271,GENE0271 Associated Gene,7,DNA Repair,GENE0271 Protein
GENE0272,GENE0272,GENE0272 Associated Gene,8,Cell Signaling,GENE0272 Protein
GENE0273,GENE0273,GENE0273 Associated Gene,9,Tumor Suppression,GENE0273 Protein
GENE0274,GENE0274,GENE0274 Associated Gene,10,Immune Regulation,GENE0274 Protein
GENE0275,GENE0275,GENE0275 Associated Gene,11,Protein Synthesis,GENE0275 Protein
GENE0276,GENE0276,GENE0276 Associated Gene,12,Metabolism,GENE0276 Protein
GENE0277,GENE0277,GENE0277 Associated Gene,13,Signal Transduction,GENE0277 Protein
GENE0278,GENE0278,GENE0278 Associated Gene,14,Apoptosis,GENE0278 Protein
GENE0279,GENE0279,GENE0279 Associated Gene,15,Cell Cycle Control,GENE0279 Protein
GENE0280,GENE0280,GENE0280 Associated Gene,16,Gene Expression,GENE0280 Protein
GENE0281,GENE0281,GENE0281 Associated Gene,17,DNA Repair,GENE0281 Protein
GENE0282,GENE0282,GENE0282 Associated Gene,18,Cell Signaling,GENE0282 Protein
GENE0283,GENE0283,GENE0283 Associated Gene,19,Tumor Suppression,GENE0283 Protein
GENE0284,GENE0284,GENE0284 Associated Gene,20,Immune Regulation,GENE0284 Protein
GENE0285,GENE0285,GENE0285 Associated Gene,21,Protein Synthesis,GENE0285 Protein
GENE0286,GENE0286,GENE0286 Associated Gene,22,Metabolism,GENE0286 Protein
GENE0287,GENE0287,GENE0287 Associated Gene,1,Signal Transduction,GENE0287 Protein
GENE0288,GENE0288,GENE0288 Associated Gene,2,Apoptosis,GENE0288 Protein
GENE0289,GENE0289,GENE0289 Associated Gene,3,Cell Cycle Control,GENE0289 Protein
GENE0290,GENE0290,GENE0290 Associated Gene,4,Gene Expression,GENE0290 Protein
GENE0291,GENE0291,GENE0291 Associated Gene,5,DNA Repair,GENE0291 Protein
GENE0292,GENE0292,GENE0292 Associated Gene,6,Cell Signaling,GENE0292 Protein
GENE0293,GENE0293,GENE0293 Associated Gene,7,Tumor Suppression,GENE0293 Protein
GENE0294,GENE0294,GENE0294 Associated Gene,8,Immune Regulation,GENE0294 Protein
GENE0295,GENE0295,GENE0295 Associated Gene,9,Protein Synthesis,GENE0295 Protein
GENE0296,GENE0296,GENE0296 Associated Gene,10,Metabolism,GENE0296 Protein
GENE0297,GENE0297,GENE0297 Associated Gene,11,Signal Transduction,GENE0297 Protein
GENE0298,GENE0298,GENE0298 Associated Gene,12,Apoptosis,GENE0298 Protein
GENE0299,GENE0299,GENE0299 Associated Gene,13,Cell Cycle Control,GENE0299 Protein
GENE0300,GENE0300,GENE0300 Associated Gene,14,Gene Expression,GENE0300 Protein
GENE0301,GENE0301,GENE0301 Associated Gene,15,DNA Repair,GENE0301 Protein
GENE0302,GENE0302,GENE0302 Associated Gene,16,Cell Signaling,GENE0302 Protein
GENE0303,GENE0303,GENE0303 Associated Gene,17,Tumor Suppression,GENE0303 Protein
GENE0304,GENE0304,GENE0304 Associated Gene,18,Immune Regulation,GENE0304 Protein
GENE0305,GENE0305,GENE0305 Associated Gene,19,Protein Synthesis,GENE0305 Protein
GENE0306,GENE0306,GENE0306 Associated Gene,20,Metabolism,GENE0306 Protein
GENE0307,GENE0307,GENE0307 Associated Gene,21,Signal Transduction,GENE0307 Protein
GENE0308,GENE0308,GENE0308 Associated Gene,22,Apoptosis,GENE0308 Protein
GENE0309,GENE0309,GENE0309 Associated Gene,1,Cell Cycle Control,GENE0309 Protein
GENE0310,GENE0310,GENE0310 Associated Gene,2,Gene Expression,GENE0310 Protein
GENE0311,GENE0311,GENE0311 Associated Gene,3,DNA Repair,GENE0311 Protein
GENE0312,GENE0312,GENE0312 Associated Gene,4,Cell Signaling,GENE0312 Protein
